Taxonomy_highest	Bacillariophyta	Anthocerotophyta	Rhodophyta	Bacillariophyta	Bryophyta	Bacillariophyta	Bryophyta	Marchantiophyta	Marchantiophyta	Bryophyta	Marchantiophyta	Bacillariophyta	Marchantiophyta	Marchantiophyta	Bacillariophyta	Anthocerotophyta	Bacillariophyta	Bacillariophyta	Marchantiophyta	Anthocerotophyta	Marchantiophyta	Bryophyta	Bacillariophyta	Bryophyta	Bacillariophyta	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_23S_ORCA_23S_S2_L001.fasta	0	0	0	3	40	0	3040	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	16860	10124	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_23S_ORCA_23S_S2_L001.fasta	0	0	0	1	41	0	407	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	18703	10919	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_23S_ORCA_23S_S2_L001.fasta	0	0	0	6	1	0	324	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	22998	6764	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_23S_ORCA_23S_S2_L001.fasta	0	0	0	8	32	0	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	28933	1098	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_23S_ORCA_23S_S2_L001.fasta	0	0	0	8	11	0	18	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	29302	753	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_23S_ORCA_23S_S2_L001.fasta	0	0	0	13	27	0	13	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	1	29534	503	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_23S_ORCA_23S_S2_L001.fasta	0	0	0	1819	288	0	1858	15	0	0	0	0	0	0	17	0	0	2341	0	0	0	0	3	0	36	22784	939	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_23S_ORCA_23S_S2_L001.fasta	0	0	0	1744	44	0	117	0	0	0	0	2	0	0	8	0	1	1454	0	0	0	0	10	0	26	24064	2630	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_23S_ORCA_23S_S2_L001.fasta	0	1	0	1907	1023	0	3255	25	0	0	0	0	0	0	19	0	0	2195	0	0	0	0	16	0	42	20400	1217	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_23S_ORCA_23S_S2_L001.fasta	0	0	0	1088	223	0	233	1	0	0	0	7	0	0	1	0	0	1260	0	19	0	0	8	0	5	23453	3802	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_23S_ORCA_23S_S2_L001.fasta	0	1	0	1742	609	0	1875	1	0	0	0	0	0	0	8	0	0	2601	0	0	0	0	8	0	50	22403	802	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_23S_ORCA_23S_S2_L001.fasta	0	0	0	1916	88	2	90	0	0	0	0	0	0	0	11	0	1	1198	0	0	0	0	21	0	24	24482	2267	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_23S_ORCA_23S_S2_L001.fasta	0	0	0	867	1984	0	2711	0	0	0	0	0	0	0	4	0	0	973	0	0	0	0	1	2	49	21980	1529	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_23S_ORCA_23S_S2_L001.fasta	0	0	0	1038	2439	0	2782	0	0	0	0	0	0	0	5	0	0	1058	0	0	0	0	5	0	45	21576	1152	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_23S_ORCA_23S_S2_L001.fasta	2	0	0	958	2570	0	2917	0	0	0	0	0	0	0	6	0	0	1087	0	0	0	0	3	0	42	21377	1138	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_23S_ORCA_23S_S2_L001.fasta	0	0	0	243	3096	0	7272	0	0	0	0	1	0	0	1	0	0	245	0	0	0	0	1	3	0	18480	758	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_23S_ORCA_23S_S2_L001.fasta	0	0	0	260	4101	0	7715	0	0	0	0	1	0	0	0	0	0	208	0	0	0	0	5	6	0	17013	791	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_23S_ORCA_23S_S2_L001.fasta	0	0	0	336	3486	0	7911	0	0	0	0	1	0	0	1	0	0	310	0	0	0	0	5	3	1	17259	787	0	

