Taxonomy_highest	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Caldiserica	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteria	Korarchaeota	Lentisphaerae	Nanoarchaeota	Nitrospinae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	TM6	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1191	3212	0	2	759	0	0	5	15	0	100	1	0	0	0	11	26	1	400	0	4	0	0	0	0	0	36	888	3263	0	0	0	0	50	0	0	18	3	15	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	916	3324	0	2	778	0	0	6	9	0	133	1	0	0	0	9	25	0	380	0	3	0	0	0	0	0	35	960	3261	0	0	0	0	113	0	0	27	1	17	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1095	2914	0	2	780	0	0	1	11	0	102	4	0	0	0	14	48	2	382	0	1	0	0	0	0	0	34	996	3442	0	0	0	0	94	0	0	20	3	55	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1225	2812	0	6	809	0	0	11	11	0	52	5	0	0	0	6	21	7	297	0	2	0	0	0	0	0	30	790	3816	0	0	1	0	50	0	0	13	2	34	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1316	3361	0	6	779	0	0	2	21	0	13	7	0	0	0	5	15	4	300	0	3	0	0	0	0	0	32	642	3410	0	0	0	0	15	0	0	15	2	52	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	530	838	0	11	1588	0	0	37	107	0	1269	7	2	4	0	12	1908	6	404	0	28	0	0	0	0	11	41	383	2446	0	0	0	0	305	0	0	26	6	31	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	469	706	0	3	2369	0	0	42	134	0	793	15	1	0	0	10	677	2	706	0	17	0	0	0	0	4	25	419	2858	0	2	0	0	138	1	0	39	13	557	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	622	618	0	12	2036	0	0	32	130	0	1082	8	0	1	0	8	1605	6	409	0	33	0	0	1	0	10	44	454	2532	1	1	0	0	281	0	0	26	10	38	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	428	372	0	6	2175	0	0	43	75	0	966	11	9	3	0	3	1480	3	460	0	20	0	0	0	0	5	43	404	2818	1	0	0	2	265	0	0	26	17	365	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	631	381	0	9	1827	0	0	18	76	0	1696	6	0	2	0	6	1876	3	366	0	29	0	0	0	0	6	52	289	2206	0	0	0	0	445	0	0	20	8	48	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	334	377	0	10	2253	0	0	32	146	0	836	32	6	3	0	7	966	1	614	0	28	0	0	0	0	3	46	452	3152	2	0	0	1	133	0	0	32	12	522	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	946	608	0	6	1224	0	0	12	134	0	975	8	0	0	2	12	2003	3	452	1	36	0	0	0	0	17	42	690	2567	0	1	0	0	194	0	0	15	41	11	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	935	588	0	2	1209	0	0	13	137	0	816	6	0	0	3	8	2165	1	397	0	33	0	0	0	0	29	20	717	2679	0	1	0	0	169	0	0	15	50	7	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	684	663	0	7	1144	0	0	12	168	0	815	5	0	0	1	17	2174	4	481	0	37	0	0	0	0	16	34	802	2714	0	1	0	0	146	0	0	17	37	21	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	538	456	0	14	1215	0	0	9	138	0	669	85	0	0	1	3	1955	13	509	0	29	0	0	0	0	9	29	743	3315	1	0	0	0	139	0	0	60	16	54	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	513	462	0	6	1525	0	0	7	119	0	478	99	0	0	1	3	1736	30	551	0	12	0	0	2	0	14	46	711	3411	2	0	0	2	96	0	0	46	26	102	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	598	451	0	5	1048	0	0	18	162	0	779	32	0	2	1	6	2292	17	461	0	24	0	0	0	0	16	39	736	3106	0	0	0	1	127	0	0	23	28	28	0	

