Taxonomy_highest	Actinobacteria	Actinobacteria	Proteobacteria	Chloroflexi	Euryarchaeota	Armatimonadetes	Firmicutes	Bacteroidetes	Proteobacteria	Chloroflexi	Caldiserica	Chlorobi	Chloroflexi	Chrysiogenetes	Armatimonadetes	Firmicutes	Actinobacteria	Bacteroidetes	Deferribacteres	Chloroflexi	Deinococcus-Thermus	Proteobacteria	Dictyoglomi	Elusimicrobia	Proteobacteria	Firmicutes	Fibrobacteres	Bacteroidetes	Bacteroidetes	Proteobacteria	Gemmatimonadetes	Euryarchaeota	Acidobacteria	Chloroflexi	Lentisphaerae	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Tenericutes	Firmicutes	Actinobacteria	Nitrospinae	Nitrospirae	Actinobacteria	Verrucomicrobia	Planctomycetes	Planctomycetes	Planctomycetes	Actinobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Synergistetes	Euryarchaeota	Thermodesulfobacteria	Actinobacteria	Chloroflexi	Euryarchaeota	Crenarchaeota	Thermotogae	Verrucomicrobia	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	65	322	610	84	0	4	228	73	406	19	0	26	8	0	7	181	3	164	0	0	1	582	0	8	0	0	6	175	38	924	33	0	613	2	1	2	0	1603	0	0	0	3	10	44	0	21	23	377	44	0	1	0	1586	1	0	0	189	15	0	1082	0	4	363	49	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	45	209	507	43	0	3	276	76	368	11	0	36	3	0	3	182	2	260	9	1	3	378	0	3	0	1	3	248	81	1564	20	0	419	2	0	0	0	1480	0	2	1	1	5	43	0	23	17	333	36	0	0	0	1508	0	0	0	95	14	0	966	0	3	354	363	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	54	202	600	53	0	3	219	32	426	10	0	14	0	0	5	143	2	105	0	0	2	403	0	6	0	1	3	128	44	776	29	0	613	6	0	1	0	1875	0	0	3	2	6	52	0	18	14	236	35	0	3	0	1518	0	0	0	96	2	0	1696	0	2	512	50	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	61	221	648	117	0	4	427	57	468	8	0	24	9	0	6	183	0	295	6	2	3	389	0	7	0	3	1	313	120	1646	28	0	329	0	0	1	0	965	0	1	1	2	3	46	0	31	20	367	41	0	0	0	1468	0	0	0	63	8	0	836	0	1	259	512	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	100	271	499	76	0	0	245	23	582	21	0	5	1	0	4	205	1	251	0	0	0	844	2	12	1	1	3	66	19	640	36	1	926	3	0	0	0	2002	0	0	1	15	17	42	0	11	21	543	112	0	1	0	864	1	0	0	198	28	0	975	0	2	319	10	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	89	280	442	89	0	0	202	29	620	27	0	9	1	0	2	194	0	236	0	0	0	886	3	8	1	0	1	48	13	729	33	0	925	2	0	0	0	2165	0	0	1	15	29	20	0	11	25	510	150	0	0	0	883	1	0	0	195	16	0	816	0	3	271	20	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	124	318	421	100	0	1	229	35	592	39	0	6	2	0	6	250	0	231	0	3	0	1002	1	17	1	1	4	65	32	698	37	0	675	0	0	0	0	2174	0	0	1	19	16	34	0	10	47	594	136	0	0	1	781	1	0	0	174	22	0	815	0	6	255	24	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	66	267	716	88	0	6	336	65	499	20	0	4	7	0	3	173	0	304	0	1	0	624	1	3	2	0	13	59	27	1474	29	1	518	1	0	1	0	1953	0	0	0	6	9	29	0	58	39	594	87	0	0	0	760	0	0	0	98	18	0	669	0	1	324	47	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	49	320	821	75	0	2	375	71	500	23	0	4	1	0	3	176	0	369	0	1	0	508	1	3	1	0	30	60	21	1580	12	0	477	0	2	0	0	1736	0	2	0	8	14	46	0	42	39	552	97	0	0	0	1003	0	0	0	74	15	0	478	0	3	318	88	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	74	247	666	87	0	2	286	49	512	26	0	11	26	0	1	174	1	259	0	2	2	617	1	6	0	1	17	52	26	1311	24	0	573	3	0	0	0	2292	0	1	0	12	16	39	0	21	18	600	101	0	2	0	662	0	0	0	94	13	0	779	0	2	264	28	0	

