Taxonomy_highest	Acidobacteria	Tenericutes	Crenarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Actinobacteria	Proteobacteria	Proteobacteria	Chloroflexi	Tenericutes	Aquificae	Euryarchaeota	Armatimonadetes	Firmicutes	Bacteroidetes	Proteobacteria	Actinobacteria	Proteobacteria	Chloroflexi	Caldiserica	Proteobacteria	Planctomycetes	Proteobacteria	Actinobacteria	Proteobacteria	Thaumarchaeota	Chlamydiae	Chlorobi	Chloroflexi	Proteobacteria	Cyanobacteria	Chrysiogenetes	Armatimonadetes	Firmicutes	Actinobacteria	Actinobacteria	Bacteroidetes	Deferribacteres	Chloroflexi	Deinococcus-Thermus	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Crenarchaeota	Proteobacteria	Dictyoglomi	Elusimicrobia	Proteobacteria	Tenericutes	Firmicutes	Actinobacteria	Crenarchaeota	Fibrobacteres	Bacteroidetes	Actinobacteria	Fusobacteria	Actinobacteria	Proteobacteria	Gemmatimonadetes	Actinobacteria	Firmicutes	Euryarchaeota	Tenericutes	Chloroflexi	Acidobacteria	Proteobacteria	Ignavibacteria	Actinobacteria	Proteobacteria	Chloroflexi	Firmicutes	Proteobacteria	Lentisphaerae	Proteobacteria	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Verrucomicrobia	Proteobacteria	Proteobacteria	Actinobacteria	Actinobacteria	Tenericutes	Proteobacteria	Firmicutes	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Thaumarchaeota	Thaumarchaeota	Nitrospinae	Nitrospirae	Cyanobacteria	Proteobacteria	Verrucomicrobia	Cyanobacteria	Proteobacteria	Proteobacteria	Planctomycetes	Planctomycetes	Cyanobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Actinobacteria	Verrucomicrobia	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Firmicutes	Proteobacteria	Acidobacteria	Actinobacteria	Chloroflexi	Bacteroidetes	Proteobacteria	Spirochaetes	Actinobacteria	Actinobacteria	Crenarchaeota	Synergistetes	Proteobacteria	Deinococcus-Thermus	Firmicutes	Euryarchaeota	Thermodesulfobacteria	Chloroflexi	Firmicutes	Chloroflexi	Euryarchaeota	Crenarchaeota	Thermotogae	Proteobacteria	Verrucomicrobia	Proteobacteria	Lentisphaerae	Proteobacteria	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	2	51	1	5	11	0	9	3	0	0	0	0	87	23	1	0	324	2	0	0	0	0	0	114	0	0	6	0	11	0	0	2	142	0	249	162	0	0	0	0	4	2	0	71	60	0	9	2	0	0	0	1	0	14	2201	0	48	0	3	0	0	0	0	0	899	0	0	0	0	3	15	304	0	0	0	0	0	25	0	0	0	0	249	356	1	0	79	0	0	0	0	0	0	0	0	35	0	46	26	0	0	0	104	853	0	0	3	16	2	0	702	4	6	1003	19	0	0	0	0	12	382	0	579	23	0	8	9	0	0	3	0	124	0	0	0	12	0	0	59	0	16	1	0	0	233	148	21	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	2	28	0	5	7	0	6	6	0	0	0	0	88	34	2	0	310	0	0	0	0	0	2	114	0	0	1	0	10	0	0	2	114	0	261	213	0	0	0	0	4	3	0	64	61	0	14	4	0	0	0	0	0	35	1852	0	38	0	1	0	0	0	0	0	1083	0	0	0	0	3	12	418	0	0	0	0	0	48	0	0	0	0	298	358	0	0	67	0	0	1	0	0	0	0	0	34	0	36	18	0	0	0	99	893	2	0	3	12	2	0	668	178	0	901	19	0	0	0	0	7	353	0	498	32	0	3	5	0	0	3	0	159	0	0	0	9	1	0	36	0	23	2	0	0	255	123	57	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	0	19	0	5	10	0	2	3	0	0	0	1	87	11	0	0	319	4	0	0	0	0	1	110	0	0	10	0	13	0	0	4	65	0	329	347	0	0	0	0	7	9	0	25	41	0	6	1	0	0	0	0	0	95	1764	0	35	0	2	0	0	1	0	0	1209	0	1	0	0	3	19	336	0	0	0	0	0	20	0	0	0	1	255	363	1	0	31	0	0	0	0	0	0	0	0	30	0	28	7	0	0	0	44	744	2	0	0	11	0	1	721	492	6	1083	22	0	0	0	2	10	281	0	356	42	0	7	2	0	0	2	0	114	0	0	0	12	1	0	27	0	12	5	0	0	257	80	34	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	0	20	0	8	11	0	2	8	0	0	0	0	76	20	0	0	320	0	0	0	0	0	2	97	0	0	2	0	11	0	0	6	78	0	272	320	0	0	0	0	7	15	0	6	39	0	5	4	0	2	0	0	0	103	2233	0	23	0	3	0	0	0	0	0	1295	0	0	0	0	9	12	342	0	0	0	0	0	15	0	0	0	1	212	394	0	0	31	0	0	0	0	0	0	0	0	32	0	34	13	0	2	0	46	595	3	0	3	5	1	0	674	322	4	967	25	0	0	0	0	12	392	0	336	33	0	7	3	0	0	2	0	120	0	0	0	12	0	0	7	0	35	2	0	0	210	47	52	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	45	106	0	0	29	0	2	62	0	0	0	4	190	34	7	0	267	7	0	0	0	7	0	36	0	0	30	7	303	0	0	6	100	0	24	136	2	2	4	0	109	3	0	634	91	0	12	40	0	0	2	7	2	147	35	0	176	0	28	0	0	0	0	3	519	1	7	1	0	2	24	112	0	0	0	0	0	1908	0	0	0	1	3	75	23	0	216	0	0	0	0	11	0	0	11	41	0	17	25	0	0	0	30	342	1	0	257	120	7	0	373	12	86	83	21	0	0	0	1	2	77	5	1271	79	0	19	2	0	0	76	0	85	0	0	0	5	13	0	583	0	16	1	0	0	302	368	67	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	22	82	0	3	28	0	9	73	0	0	0	0	392	76	17	0	293	28	0	0	3	9	0	42	0	0	35	5	154	0	0	3	128	2	21	226	1	0	0	0	93	30	0	479	106	0	10	338	0	2	3	3	0	277	30	0	107	0	17	0	0	0	0	1	456	5	7	2	0	2	93	89	0	1	0	0	0	675	0	2	0	1	5	72	59	0	201	0	0	3	0	7	0	0	4	25	0	45	33	0	0	0	27	379	6	0	199	279	9	0	482	48	80	93	24	0	0	2	0	1	66	4	1788	68	0	14	7	0	2	51	0	88	0	1	0	1	19	0	289	0	8	6	0	0	255	209	560	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1	0	57	65	0	1	29	0	2	84	0	0	0	4	210	73	4	0	301	19	0	0	4	0	0	36	0	0	26	6	370	0	0	7	89	3	21	164	0	0	1	0	143	3	0	497	117	0	8	33	0	0	3	8	3	213	16	0	121	0	33	0	0	0	0	2	612	1	6	1	0	1	18	93	0	0	2	0	0	1603	0	0	0	2	3	50	31	0	207	0	0	1	0	9	0	0	10	44	0	23	21	0	0	0	23	417	1	0	177	128	10	0	402	22	88	84	18	0	0	0	1	1	68	3	1586	47	1	13	3	0	1	97	0	89	0	0	0	3	12	0	520	0	7	4	0	1	265	341	52	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1	0	35	45	0	1	19	0	6	43	0	0	0	3	170	76	7	0	271	11	0	0	2	3	0	44	0	0	36	3	261	0	0	3	85	2	12	260	9	1	3	0	83	4	0	489	63	0	3	631	0	1	1	3	2	329	11	0	63	0	20	0	0	0	0	0	418	2	7	0	0	1	106	56	0	0	0	0	0	1480	0	0	0	1	6	38	49	1	152	0	0	0	0	14	0	0	5	43	0	26	23	0	0	0	15	367	6	0	86	385	3	0	307	25	66	53	12	0	0	1	0	0	32	6	1508	65	1	8	2	0	0	59	0	96	0	0	0	1	8	0	439	0	6	3	0	0	188	337	372	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1	0	87	54	1	0	20	0	4	53	0	0	0	3	207	32	1	0	301	10	0	0	3	1	0	45	0	0	14	0	383	0	0	5	84	2	6	105	0	0	2	0	111	5	0	775	77	0	6	35	0	1	1	17	0	172	20	0	67	0	29	0	0	0	0	0	611	5	4	0	1	5	11	41	0	0	1	0	0	1875	0	0	0	0	2	33	11	0	133	1	0	2	1	13	0	0	6	52	0	14	18	0	0	0	14	268	0	0	97	95	10	0	397	20	95	58	12	0	0	3	1	3	29	2	1518	66	0	19	6	0	0	68	0	56	0	0	0	2	0	0	817	0	5	2	0	0	196	506	55	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	2	0	32	61	0	0	28	0	7	117	0	0	0	4	310	57	17	0	346	8	0	0	2	17	0	48	0	0	24	4	203	0	0	6	118	0	5	295	6	2	3	0	62	14	0	484	57	0	7	572	0	3	2	3	0	433	14	0	39	0	28	0	0	0	0	4	327	11	8	2	0	0	117	85	0	1	1	0	0	965	0	0	0	0	1	43	71	1	184	0	0	0	0	7	0	0	3	46	0	33	31	0	1	0	20	406	14	0	74	457	0	0	335	41	85	78	20	0	0	1	0	0	24	4	1468	123	2	12	0	0	0	44	0	64	0	0	0	1	4	0	317	0	7	1	0	0	264	222	530	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	3	0	84	100	0	6	22	0	1	76	0	0	0	0	234	23	78	0	461	21	0	1	7	0	0	12	0	0	5	1	210	0	0	4	61	1	20	251	0	0	0	1	289	3	0	586	72	2	12	33	0	1	15	2	3	85	6	0	131	0	36	0	0	1	0	0	923	2	7	0	0	2	11	56	0	0	0	0	0	2002	0	0	0	0	0	28	14	0	244	1	0	0	0	10	0	0	17	42	0	20	11	0	1	0	21	648	1	0	172	63	11	0	299	10	103	112	2	0	0	1	3	1	67	15	864	60	0	17	3	0	1	138	0	140	0	0	0	3	9	0	303	0	6	2	0	0	249	314	11	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	2	0	78	89	0	6	9	0	1	89	0	0	0	0	194	29	101	0	492	27	0	1	13	0	0	13	0	0	9	1	229	0	0	2	60	0	16	236	0	0	0	0	284	4	0	512	76	3	8	36	0	0	11	0	1	61	10	0	137	0	32	0	0	0	0	0	923	0	4	0	0	2	8	109	0	0	0	0	0	2165	0	0	0	0	2	41	8	0	258	2	0	0	4	15	0	0	29	20	0	38	11	0	0	0	24	647	0	0	182	90	12	0	256	13	107	103	10	0	0	1	0	0	58	6	883	47	0	7	4	0	1	144	0	127	0	0	0	5	5	0	226	0	7	3	0	0	215	285	21	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	2	0	68	124	0	3	27	0	5	100	0	0	0	1	223	35	120	0	486	39	0	1	10	1	0	21	0	0	6	2	178	0	0	6	90	0	3	231	0	3	0	0	297	1	0	552	86	1	14	27	0	1	19	3	4	97	14	0	111	0	37	0	0	0	0	0	673	3	6	0	0	0	6	104	0	0	0	0	0	2174	0	0	0	1	0	40	9	0	342	4	0	0	0	8	0	0	16	34	0	39	10	0	0	0	46	720	0	0	204	121	27	0	209	11	93	130	5	0	2	1	0	0	63	12	781	44	0	18	3	0	1	126	0	155	0	0	0	1	7	0	192	0	6	6	0	0	211	260	27	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	3	0	60	66	0	1	19	0	19	88	0	0	0	6	322	65	52	0	383	20	0	2	3	3	0	128	0	0	4	5	130	0	0	3	67	0	138	304	0	1	0	0	181	7	1	414	67	1	3	957	0	0	5	2	4	86	5	0	61	0	29	0	0	1	0	2	515	2	5	0	2	1	14	93	0	0	1	0	0	1953	0	0	0	0	7	23	6	0	217	2	0	0	1	15	0	0	9	29	0	18	56	0	0	0	39	678	58	0	69	95	11	0	254	23	88	151	7	0	0	0	0	0	37	11	760	148	1	12	3	0	0	80	0	104	0	0	0	0	4	0	193	0	6	1	1	0	148	272	59	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	52	49	0	4	10	0	25	75	0	0	0	2	361	71	35	0	399	23	0	1	9	0	0	157	0	0	4	1	136	0	0	3	86	0	157	369	0	1	0	0	138	5	0	304	61	1	3	1047	2	0	8	1	3	81	7	0	55	0	12	0	1	0	0	0	477	2	3	0	7	0	14	94	0	0	0	0	0	1736	0	0	0	0	14	17	16	0	180	2	0	0	0	8	0	0	14	46	0	19	42	0	1	0	39	640	60	0	101	101	7	0	295	16	75	178	11	0	0	0	1	0	19	10	1003	149	2	14	0	0	0	75	0	87	0	0	0	0	4	0	121	0	6	3	0	2	149	268	113	0	
