Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Blastocladiomycota	Chytridiomycota	Chytridiomycota	Glomeromycota	Glomeromycota	Glomeromycota	Neocallimastigomycota	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001.fasta	0	240	1080	2	0	29	2779	2	6	72	307	145	0	0	1	1223	0	750	2	0	5	0	0	1	0	9	16	104	0	139	0	0	485	1886	1917	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001.fasta	0	230	1619	3	0	28	2946	7	2	96	371	144	0	0	1	1532	0	670	1	0	1	0	0	1	0	15	13	52	0	136	0	0	310	1584	1438	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001.fasta	3	262	1460	3	0	30	2917	3	2	85	399	164	0	1	0	1331	0	698	3	0	2	0	0	2	3	11	14	120	1	205	1	1	397	1692	1390	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001.fasta	3	185	1133	1	0	26	2619	6	0	73	342	243	0	1	0	908	0	867	2	0	3	0	0	2	0	15	158	410	0	465	1	1	670	1879	1187	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001.fasta	0	304	1347	2	0	70	2808	4	2	125	399	192	0	0	0	1102	0	772	3	0	7	0	0	2	1	9	24	364	2	401	4	1	537	1686	1032	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001.fasta	5	823	467	2	0	11	412	0	9	201	2147	130	0	2	6	1275	8	388	2	0	9	2	0	10	4	30	128	97	29	170	2	9	743	2005	2074	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001.fasta	1	786	240	0	0	12	487	0	4	186	1672	117	0	1	3	1415	3	276	2	0	4	2	0	5	0	601	157	228	21	153	5	9	774	2127	1909	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001.fasta	1	819	384	0	0	17	381	0	26	199	1887	78	0	1	4	1724	5	353	4	0	4	0	0	7	0	33	216	92	20	188	7	48	555	2038	2109	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_18S_ORCA_18S_S1_L001.fasta	2	692	268	1	0	6	232	0	8	222	1732	80	0	2	2	1507	3	315	6	1	0	0	1	12	3	92	226	91	12	117	5	37	1236	2361	1928	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_18S_ORCA_18S_S1_L001.fasta	2	703	269	0	0	17	289	0	49	228	1708	95	0	20	4	1483	2	370	1	0	2	2	0	6	2	43	131	45	22	117	1	15	631	3522	1421	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_18S_ORCA_18S_S1_L001.fasta	0	563	176	1	0	2	308	1	1	164	1632	101	0	0	0	1333	1	203	1	0	1	6	0	3	0	22	196	37	7	280	4	0	1506	1980	2671	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_18S_ORCA_18S_S1_L001.fasta	2	451	151	3	0	6	256	0	1	246	1602	123	0	2	2	1197	1	253	5	0	2	3	0	7	0	22	303	73	14	433	14	3	1205	2240	2580	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_18S_ORCA_18S_S1_L001.fasta	0	413	146	1	0	0	328	1	1	283	1463	75	0	1	0	1345	1	231	1	4	2	0	0	3	0	11	244	36	5	447	3	3	1615	1990	2547	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_18S_ORCA_18S_S1_L001.fasta	1	1088	49	1	0	11	243	1	50	440	859	36	0	0	0	1035	1	157	1	0	1	0	0	7	2	343	137	133	2	531	3	4	1449	2649	1966	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_18S_ORCA_18S_S1_L001.fasta	1	1007	48	1	0	8	193	2	16	639	776	83	0	0	0	764	2	151	6	0	12	0	0	4	1	292	85	98	5	458	3	0	1450	3252	1843	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_18S_ORCA_18S_S1_L001.fasta	2	649	98	0	0	17	244	3	69	280	873	53	0	1	2	971	0	193	1	0	4	0	0	2	0	203	128	71	8	634	7	4	2406	2424	1853	

