Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	114	454	305	39	0	0	10	0	632	207	9	117	0	0	1	39	0	1	531	3492	1549	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	77	327	127	20	0	0	7	0	550	98	3	134	0	0	1	24	0	0	513	4275	1344	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	68	493	223	23	0	0	12	0	652	151	5	151	0	0	0	24	0	0	426	3660	1612	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	72	365	168	19	0	0	5	0	551	147	3	235	0	0	0	40	0	1	936	3527	1431	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	94	398	160	17	0	0	3	0	568	118	5	300	0	0	2	23	0	2	466	4278	1066	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	62	302	137	15	0	0	3	0	454	122	3	571	0	0	1	34	0	2	544	3792	1458	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	38	362	88	31	0	0	2	1	410	105	148	264	0	0	2	12	0	26	1024	2997	1990	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	19	274	81	19	0	0	1	1	351	99	163	206	3	0	0	13	0	22	797	3459	1992	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	26	231	83	13	0	0	0	0	301	117	136	252	0	0	3	13	0	33	1101	3269	1922	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	21	764	25	4	0	0	3	1	216	57	72	180	0	0	2	3	0	790	875	3195	1292	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	21	630	19	10	0	0	3	0	187	76	61	156	0	0	9	4	0	1067	913	3150	1194	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	30	405	47	5	0	0	8	0	177	60	67	249	0	0	5	4	0	831	1630	2776	1206	

