Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Blastocladiomycota	Blastocladiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycota	Microsporidia	Neocallimastigomycota	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	2	0	0	0	0	75	4	0	0	0	0	390	93	0	2	0	64	43	0	2	0	0	0	1	0	0	1	1	0	0	4	205	0	0	3	167	0	0	0	0	0	63	359	0	14	0	3	0	72	4	0	10	34	6	61	0	0	0	2	505	6	11	0	0	27	103	16	1	7	552	0	4	316	0	0	0	0	0	2	6	186	0	310	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	9	21	0	20	0	1	0	41	2	44	4	0	3	30	1551	59	226	29	26	68	120	11	0	0	223	428	834	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	24	0	0	0	0	0	167	370	0	4	0	282	75	0	2	0	0	0	0	0	4	6	11	0	0	2	1503	0	3	0	79	0	0	0	0	0	0	84	0	2	0	0	0	66	2	0	1	7	1	108	0	0	0	0	195	13	6	4	4	53	215	1	0	7	115	5	0	258	0	0	1	0	0	0	4	76	0	436	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	2	0	49	1	0	0	13	400	63	209	35	1	62	12	0	0	1	203	1135	1108	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	9	0	0	0	0	0	96	291	0	1	0	255	51	0	1	0	0	0	0	0	0	4	7	0	0	1	1461	0	1	0	61	0	0	0	0	0	1	67	0	0	0	0	0	67	5	1	4	2	0	128	0	1	1	0	264	5	5	0	1	34	170	0	0	7	84	1	0	172	0	0	0	0	1	0	1	62	0	445	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	6	0	8	0	0	0	0	2	62	0	0	0	10	402	62	281	21	0	79	10	2	0	0	339	1015	1424	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	2	0	0	0	0	14	0	0	0	0	0	107	292	0	1	0	381	111	0	3	0	0	0	0	0	1	6	5	0	0	0	1488	0	2	0	73	0	0	0	0	0	2	73	0	1	0	0	0	62	3	0	13	3	1	122	0	0	1	0	235	8	10	4	5	66	240	0	0	2	76	1	8	359	0	0	0	0	0	0	5	66	0	443	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	6	0	1	0	0	1	43	2	0	0	14	363	63	178	29	0	76	10	1	0	0	244	1007	1158	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1	0	0	0	0	0	0	21	0	0	0	0	0	119	289	0	0	0	326	76	0	3	0	0	0	0	0	1	4	9	0	0	1	1519	0	5	1	86	0	0	0	0	0	4	76	0	0	0	1	0	55	4	1	8	2	4	137	0	0	0	0	244	7	5	2	4	40	173	2	0	6	76	4	6	283	0	0	0	0	0	1	3	62	0	425	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	11	0	3	0	0	0	1	1	67	0	0	1	7	371	49	212	20	1	173	9	0	0	0	325	1034	1112	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	2	0	0	0	0	0	0	11	0	0	0	0	0	78	250	0	0	0	230	79	0	3	0	0	0	0	0	2	5	0	0	0	1	1416	0	2	1	81	0	0	0	0	0	0	79	0	2	0	0	0	69	2	1	4	2	1	164	0	0	0	0	273	2	5	1	4	22	52	0	0	4	103	0	0	100	0	0	3	0	0	0	5	72	0	547	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	12	0	43	0	0	0	3	0	307	0	0	0	3	318	50	288	29	1	295	12	0	0	0	501	948	1006	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	3	0	0	0	0	15	0	0	0	0	0	115	267	0	1	0	316	100	1	5	0	0	0	1	0	0	9	5	0	0	1	1428	0	1	0	103	0	0	0	0	0	2	92	0	2	0	0	0	75	3	3	10	6	1	140	0	0	0	0	274	7	3	1	7	38	89	0	0	2	69	1	3	212	0	0	0	0	0	1	5	71	0	458	4	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	4	0	0	0	16	1	321	0	0	0	10	339	54	237	40	4	308	16	1	0	0	403	969	816	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	111	3	0	0	0	0	467	310	0	3	0	19	21	0	0	0	0	0	0	0	6	3	0	0	0	2	163	0	0	3	153	0	1	0	0	0	238	397	0	15	0	6	0	56	3	3	3	118	9	93	0	0	0	4	565	6	38	0	1	20	6	9	0	0	83	0	2	39	0	0	0	0	0	7	14	163	0	94	2	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	1	1	0	0	0	1	2	1	2	0	0	2	21	0	11	0	0	0	58	8	50	0	0	5	18	913	25	40	80	20	86	37	2	0	7	541	649	1653	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	1	0	0	0	0	77	0	0	0	1	0	334	127	0	2	0	15	5	0	0	0	0	0	0	0	3	2	0	0	0	2	110	0	0	3	148	0	0	0	0	0	254	304	0	6	0	0	0	34	3	2	4	54	3	72	0	0	3	2	733	4	11	2	1	12	3	6	1	0	109	0	1	30	0	0	0	0	0	1	7	99	0	88	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	467	0	12	1	4	0	73	4	177	10	0	1	4	490	11	33	47	19	78	28	1	0	10	546	1364	1433	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	1	0	0	2	0	0	0	0	69	2	0	0	1	0	500	225	0	2	0	6	17	0	0	0	0	0	0	0	5	7	0	0	0	3	139	0	0	8	160	0	0	0	0	0	258	399	0	9	0	1	0	45	0	3	5	87	6	60	0	0	1	2	609	3	44	0	0	228	9	9	0	0	86	1	0	74	0	0	0	0	0	4	18	161	0	87	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	27	0	11	4	0	0	115	10	65	8	0	0	19	792	45	56	54	17	111	28	4	0	35	432	564	1736	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1	0	7	0	0	0	0	69	4	1	0	0	0	376	176	0	0	0	11	8	0	1	0	0	0	0	0	1	1	0	0	0	2	69	0	0	1	183	0	0	0	0	0	236	320	0	8	0	5	0	43	3	2	2	83	3	50	0	0	1	3	537	5	47	0	1	26	1	4	0	0	207	1	0	43	0	0	0	0	0	3	12	159	0	70	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	4	1	5	0	0	2	61	0	16	2	0	0	94	15	73	1	0	2	8	1019	23	37	20	11	46	30	6	0	27	946	709	1548	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1	0	3	0	0	0	0	95	0	0	0	0	0	404	159	0	2	0	7	10	0	0	0	0	0	0	0	1	3	0	0	0	4	96	0	0	15	157	0	0	0	0	0	236	334	0	11	1	1	0	32	3	4	5	63	5	57	0	0	14	1	522	4	30	0	0	36	4	1	0	1	141	0	0	189	0	0	0	0	0	4	11	153	0	65	1	0	0	0	2	0	0	0	0	3	0	0	0	2	0	0	0	0	1	3	0	0	0	0	1	0	2	0	0	1	30	0	14	4	0	0	66	5	30	1473	0	1	41	599	30	17	39	14	67	27	1	0	4	464	489	1184	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	2	0	0	0	0	62	0	0	0	0	0	307	139	0	0	0	5	10	0	0	0	0	0	0	0	1	2	0	0	0	0	99	0	1	0	120	0	0	0	0	0	209	253	0	7	0	2	0	31	0	3	7	71	3	71	0	0	2	7	487	5	13	0	3	64	6	11	0	0	552	0	1	39	0	0	0	0	0	3	7	106	0	65	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	447	0	15	1	2	0	105	11	245	2	0	1	8	502	14	24	32	19	98	36	2	0	10	567	979	1593	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3	1	1	0	0	0	0	42	0	0	0	0	0	376	82	0	7	0	13	20	0	1	0	0	0	0	0	2	0	0	0	1	0	113	0	2	4	123	0	1	0	0	1	25	367	0	29	0	0	1	33	3	1	3	55	148	61	0	0	1	2	404	15	26	0	2	27	3	3	0	0	211	3	1	61	0	0	0	0	0	0	8	140	0	36	3	0	0	0	2	0	0	0	0	1	0	0	0	26	0	0	0	0	4	0	0	0	1	0	0	0	3	0	0	2	9	0	12	2	1	0	107	8	25	5	0	0	19	1046	36	32	23	6	59	159	13	0	1	1040	328	2065	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3	0	2	0	0	0	0	22	1	0	0	0	0	281	78	0	3	0	11	8	0	0	0	0	0	0	0	0	0	0	0	3	1	91	0	0	0	203	0	0	0	0	0	23	332	0	24	0	2	0	37	3	1	4	40	163	83	0	0	0	0	398	8	14	0	3	26	1	1	0	0	160	0	0	62	0	0	3	0	0	3	8	120	0	56	7	0	0	0	0	0	0	0	0	4	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	11	0	23	0	1	0	189	3	59	2	0	0	18	1236	36	36	23	9	67	237	7	0	4	809	327	2085	
