Taxonomy_highest	Bryophyta	Marchantiophyta	Bacillariophyta		Anthocerotophyta		Chlorophyta	Chlorophyta		Cercozoa		Chlorophyta		Marchantiophyta		Bryophyta		Bryophyta	Chlorophyta	Bacillariophyta		Rhodophyta	Bryophyta		Rhodophyta	Chlorophyta	Bryophyta	Marchantiophyta				Rhodophyta	Bacillariophyta		Bryophyta		Bryophyta		Bacillariophyta	Cercozoa	Bryophyta	Chlorophyta	Rhodophyta	Chlorophyta	Anthocerotophyta		Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	14	13	0	521	3	78	0	0	2901	9	0	0	1	0	0	0	0	0	0	0	2	0	0	149	0	0	42	1	0	2	85	3	2298	0	0	0	0	0	0	0	0	0	0	1457	2421	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	1	0	0	223	0	4	0	0	8748	28	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	5	11	0	214	0	0	0	0	0	3	0	0	0	0	414	333	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	251	0	3	0	0	8815	16	0	0	1	0	0	0	1	0	0	0	1	0	0	7	0	0	2	0	0	4	13	0	223	1	0	0	0	0	4	0	0	0	0	392	266	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	231	0	4	0	0	8573	18	0	0	1	0	0	0	0	0	0	1	2	0	0	9	0	0	5	0	0	8	12	0	342	0	0	0	0	0	4	0	0	0	0	610	180	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	2	118	0	0	1777	0	1884	0	0	720	14	7	0	50	0	0	0	34	0	0	0	859	1	0	665	0	0	580	1	1	1532	33	0	0	0	0	15	0	0	37	0	8	0	0	1375	287	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	3	41	0	0	1480	0	957	0	0	1543	1	0	0	4	3	0	0	37	0	0	0	492	0	0	57	0	0	40	0	0	1693	107	0	2	0	0	11	0	0	8	0	3	0	0	3151	367	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	8	83	0	0	1378	0	2083	0	0	651	3	6	0	73	0	0	0	39	0	0	0	587	0	0	1309	0	0	168	0	0	1563	54	2	0	0	0	11	0	0	27	0	2	1	0	1655	297	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	3	17	3	0	550	0	369	0	0	542	0	1	0	33	0	0	0	32	0	0	0	536	0	0	141	0	0	64	0	0	1054	47	0	3	0	0	3	0	0	9	0	2	0	0	5515	1076	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	8	66	0	0	2242	0	1557	0	0	900	0	0	0	35	0	0	0	23	0	0	0	804	0	0	850	0	0	386	0	0	1523	36	0	3	0	0	12	0	0	26	0	5	0	0	1288	236	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	11	45	0	0	1156	0	771	0	0	1288	3	0	0	13	0	0	0	55	0	0	0	532	0	0	56	0	0	93	0	0	1416	90	0	4	0	0	9	0	0	7	0	1	0	0	3950	500	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	2	13	1	0	1703	0	1244	0	0	1196	0	0	0	49	0	0	0	0	0	0	0	194	0	0	1541	0	0	6	0	0	702	158	26	1	0	0	11	0	0	232	0	25	0	0	2079	817	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	3	12	0	0	1467	0	1168	0	0	1230	2	0	0	86	0	0	0	5	0	0	2	324	0	0	1785	0	0	0	0	0	799	157	14	1	0	0	5	0	0	234	0	20	1	0	2105	580	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	2	17	1	0	1494	0	1124	0	0	1210	0	0	0	68	0	0	0	5	0	0	0	330	0	0	1959	0	0	0	0	0	703	138	7	1	0	0	11	0	0	265	0	31	1	0	2049	584	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	1	0	0	0	126	0	16	0	0	98	0	0	0	225	0	0	0	3	0	1	0	67	0	0	3419	0	0	0	0	0	187	16	0	1	0	0	0	0	0	2	0	3	0	0	5699	136	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	3	0	0	0	90	0	8	0	0	98	0	0	0	187	1	0	0	3	0	1	0	80	0	0	3964	0	0	1	0	0	170	12	0	1	0	0	1	0	0	2	0	2	0	0	5250	126	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	2	1	0	0	81	0	7	0	0	83	0	0	0	180	0	0	0	2	0	1	0	66	0	0	3812	0	0	0	0	0	231	12	0	3	0	0	0	0	0	6	0	0	0	0	5389	124	0	

